 name:     molybdenum                                             Feff 8.20
 formula:  Mo
 sites:    Mo1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, bcc
 POT  SCF  20  5.3121   0, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=42 Rmt= 1.509 Rnm= 1.565 K  shell
 Pot 1 Z=42 Rmt= 1.479 Rnm= 1.530
 Gam_ch=5.613E+00 H-L exch
 Mu=-8.903E+00 kf=2.144E+00 Vint=-2.045E+01 Rs_int= 1.692
 PATH  Rmax= 8.018,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 0.50%
 Path  216      icalc       2
 -----------------------------------------------------------------------
   4  96.000   7.9446    2.8926   -8.90277 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  42 Mo       absorbing atom
  3.600  7.2825E+00  2.6012E-02 -3.7018E+01  1.375E+00  3.9936E+00  3.9813E+00
  3.800  7.1673E+00  2.3937E-02 -3.7470E+01  1.353E+00  4.0493E+00  4.1465E+00
  4.000  7.0472E+00  1.9519E-02 -3.7941E+01  1.325E+00  4.1335E+00  4.3155E+00
  4.200  6.9242E+00  1.4431E-02 -3.8463E+01  1.300E+00  4.2394E+00  4.4879E+00
  4.400  6.8002E+00  1.0158E-02 -3.9074E+01  1.273E+00  4.3628E+00  4.6634E+00
  4.600  6.6754E+00  7.6903E-03 -3.9776E+01  1.249E+00  4.5004E+00  4.8416E+00
  4.800  6.5510E+00  6.6378E-03 -4.0429E+01  1.227E+00  4.6502E+00  5.0221E+00
  5.000  6.4274E+00  6.0183E-03 -4.0948E+01  1.206E+00  4.8104E+00  5.2046E+00
  5.200  6.3048E+00  5.2126E-03 -4.1345E+01  1.188E+00  4.9797E+00  5.3890E+00
  5.400  6.1836E+00  4.1747E-03 -4.1669E+01  1.171E+00  5.1573E+00  5.5749E+00
  5.600  6.0635E+00  3.0334E-03 -4.1957E+01  1.155E+00  5.3421E+00  5.7623E+00
  5.800  5.9447E+00  1.9239E-03 -4.2233E+01  1.140E+00  5.5337E+00  5.9509E+00
  6.000  5.8267E+00  9.6023E-04 -4.2549E+01  1.125E+00  5.7314E+00  6.1405E+00
  6.500  5.5335E+00  6.7093E-04 -3.9542E+01  1.086E+00  6.2495E+00  6.6187E+00
  7.000  5.2446E+00  1.2572E-03 -4.0264E+01  1.054E+00  6.7975E+00  7.1014E+00
  7.500  4.9665E+00  1.4790E-03 -4.0947E+01  1.028E+00  7.3715E+00  7.5875E+00
  8.000  4.7005E+00  1.7952E-03 -4.1611E+01  1.009E+00  7.9686E+00  8.0762E+00
  8.500  4.4437E+00  2.3518E-03 -4.2201E+01  9.945E-01  8.5864E+00  8.5669E+00
  9.000  4.1958E+00  3.0407E-03 -4.2694E+01  9.823E-01  9.2232E+00  9.0591E+00
  9.500  3.9585E+00  3.6571E-03 -4.3116E+01  9.724E-01  9.8775E+00  9.5526E+00
 10.000  3.7325E+00  4.0420E-03 -4.3501E+01  9.649E-01  1.0548E+01  1.0047E+01
 11.000  3.3081E+00  4.0412E-03 -4.4179E+01  9.549E-01  1.1934E+01  1.1038E+01
 12.000  2.9144E+00  3.3383E-03 -4.4736E+01  9.477E-01  1.3375E+01  1.2032E+01
 13.000  2.5525E+00  2.5081E-03 -4.5147E+01  9.440E-01  1.4865E+01  1.3027E+01
 14.000  2.2148E+00  1.9805E-03 -4.5425E+01  9.414E-01  1.6400E+01  1.4023E+01
 15.000  1.9028E+00  1.7427E-03 -4.5723E+01  9.393E-01  1.7976E+01  1.5020E+01
 16.000  1.6106E+00  1.5656E-03 -4.6101E+01  9.369E-01  1.9590E+01  1.6017E+01
 17.000  1.3352E+00  1.3676E-03 -4.6542E+01  9.342E-01  2.1240E+01  1.7015E+01
 18.000  1.0762E+00  1.1442E-03 -4.7023E+01  9.329E-01  2.2923E+01  1.8013E+01
 19.000  8.3034E-01  9.0375E-04 -4.7528E+01  9.322E-01  2.4636E+01  1.9012E+01
 20.000  5.9947E-01  6.4379E-04 -4.8013E+01  9.323E-01  2.6379E+01  2.0011E+01
 21.000  3.7995E-01  4.2999E-04 -4.8424E+01  9.327E-01  2.8150E+01  2.1010E+01
 22.000  1.7317E-01  2.6751E-04 -4.8715E+01  9.335E-01  2.9947E+01  2.2009E+01
 23.000 -2.4474E-02  1.7795E-04 -4.8762E+01  9.345E-01  3.1768E+01  2.3008E+01
 24.000 -2.1090E-01  1.5449E-04 -4.8757E+01  9.356E-01  3.3612E+01  2.4007E+01
 25.000 -3.8844E-01  1.6072E-04 -4.8878E+01  9.369E-01  3.5478E+01  2.5007E+01
